"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" nu este disponibil in cantitatea solicitata. %s din articole vor fi adaugate la o comanda in asteptare."
"%s is available for purchase in increments of %s only.","%s este disponibil pentru achizitionarea a unui maximum de %s articole."
"%s is not a correct comparsion method.","%s nu este o metoda de comparare corecta."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Notati</strong> "" ca aceste setari sunt aplicabile la o serie din articolele din carucior, nu caruciorul intreg."
"Add Minimum Qty","Adauga cantitate minima"
"Allow Qty Below 0","Permite cantitate sub 0"
"Allow Qty Below 0 and Notify Customer","Permite cantitate sub 0 si anunta clientul"
"Automatically Return Credit Memo Item to Stock","Returneaza automat articolul notei de credit in stoc"
"Backorders","Comenzi in asteptare"
"By Fixed value","Dupa valoare fixa"
"By Percentage","Dupa procentaj"
"Cannot specify product identifier for the order item.","Nu se poate specifica identificatorul de produs pentru articolul comandat."
"Catalog Inventory","Inventar Catalog"
"Decrease Stock When Order is Placed","Scade stocul cand se face o comanda"
"Display Out of Stock Products","Afiseaza produsele care nu sunt in stoc"
"Enable Qty Increments","Activeaza marirea cantitatilor"
"In Stock","In Stoc"
"Index Product Stock Status","Starea indexului produselor din stoc"
"Inventory","Inventar"
"Inventory API","Inventar API"
"Inventory Section","Sectiune inventar"
"Manage Stock","Administreaza stoc"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima permisa in carucior"
"Minimum Qty","Cantitate minima"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima permisa in cos"
"No Backorders","Fara comenzi in asteptare"
"Not all products are available in the requested quantity","Nu toate produsele sunt disponibile in cantitatea solicitata"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Only X left Threshold","Limita afiseaza numai X ramase"
"Out of Stock","Nu este in stoc"
"Product Stock Options","Optiuni stoc produse"
"Qty Increments","Praguri cantitati"
"Qty for Item's Status to Become Out of Stock","Stare cantitate articol pana la lichidarea stocului"
"Retrieve stock data","Redare date stoc"
"Retrieve stock data by product ids","Redare date stoc dupa id-urile produselor"
"Rule price","Reguli pret"
"Set Items' Status to be In Stock When Order is Cancelled","Seteaza starea articolelor ca ""In Stoc"" atunci cand o comanda este anulata"
"Some of the products are currently out of stock","Unele din produse nu sunt in stoc momentan"
"Some of the products cannot be ordered in requested quantity.","Unele din produse nu pot fi comandate in cantitate solicitata."
"Some of the products cannot be ordered in the requested quantity.","Unele din produse nu pot fi comandate in cantitatea solicitata."
"Stock Options","Optiuni stoc"
"Stock Status","Stare stoc"
"The maximum quantity allowed for purchase is %s.","Cantitatea maxima permisa pentru achizitionare este de %s."
"The minimum quantity allowed for purchase is %s.","Cantitatea minima permisa pentru achizitionare este de %s."
"The requested quantity for ""%s"" is not available.","Cantitatea solicitata de ""%s"" nu este disponibila."
"The stock item for Product in option is not valid.","Articolul din stoc pentru produs in optiune nu este valid."
"The stock item for Product is not valid.","Articolul din stoc pentru produs nu este valid."
"This product is available for purchase in increments of %s only.","Acest produs este disponibil pentru achizitionarea doar in incremete de %s articole."
"This product is currently out of stock.","Acest produs nu este in stoc momentan."
"This product is not available in the requested quantity. %s of the items will be backordered.","Acest produs nu este disponibil in cantitatea solicitata. %s din articole vor fi adaugate la o comanda in asteptare."
"To Fixed Value","Pana la valoare fixa"
"To Percentage","Pana la procentaj"
"Undefined product type.","Tip produs nedefinit."
"Update","Actualizare"
"Update product stock data","Actualizare date stoc produs"
"Update the Product","Actualizarea Produsului"
"Minimum Qty for Items' Status to be In Stock","Cantitate minima ca starea articolelor sa fie ""In Stoc"
"The requested quantity is not available.","Cantitatea solicitata nu este disponibila."
"Can not specify product identifier for order item","Nu se poate specifica ID-ul produsului comandat"
