# of Uses,# de utilizari
%s tag(s) have been accepted for moderation.,%s etichete au fost acceptate pentru moderare.
<strong>Tag Name:</strong> %s,<strong>Nume eticheta:</strong> %s
Action,Actiune
Add,Adauga
Add New Tag,Adauga eticheta
Add Tags,Adauga etichete
Add Your Tags:,Adauga etichetele tale:
Add tag(s) to product,Adauga etichetele la produs
Add to Cart,Pune in cos
Add to Wishlist,Adauga la favorite
All Tags,Toate etichetele
Approved,Aprobat
Are you sure you want to delete this tag?,Esti sigur ca vrei sa stergi eticheta?
Are you sure you want to do this?,Esti sigur ca vrei sa faci asta?
Are you sure?,Esti sigur?
Back,Inapoi
Back to Tags List,Inapoi la Lista etichete
Base Popularity,Popularitate de baza
Block Information,Informatii bloc
CSV,CSV
Catalog Product View,Vizualizare produs din catalog
Change status,Schimba stare
Click on a tag to view your corresponding products.,Click pe o eticheta pentru a vedea produsele corespunzatoare acesteia.
Country,Tara
Customer My Account My Tags List,Client Contul Meu Lista mea de etichete
Customer My Account Tag View,Client Contul Meu Vizualizare eticheta
Customer Since,Client din
Customers,Clienti
Customers Submitted this Tag,Clientii au trimis aceasta eticheta
Customers Tagged '%s',Clientii au pus etichete pe '%s'
Delete,Sterge
Delete Tag,Sterge eticheta
Disabled,Dezactivat
Edit Tag '%s',Modifica eticheta '%s'
Email,E-mail
First Name,Prenume
General Information,Informatii generale
Grid,Tabel
ID,ID
Info,Info
Last Name,Nume
List,Lista
Manage Tags,Administrare etichete
My Recent Tags,Etichetele mele recente
My Tags,Etichetele mele
Name,Nume
New Tag,Eticheta noua
No matches found.,Nu s-a gasit nimic.
Other people marked this product with these tags:,Alti vizitatori au pus urmatoarele etichete:
Pending,In asteptare
Pending Tags,Etichete in asteptare
Popular,Populare
Popular Tags,Etichete populare
Price,Pret
Product Name,Nume produs
Product SKU,Cod produs
Product Tag API,API eticheta produs
Product Tags,Etichete produs
Products,Produse
Products Tagged by Administrators,Produse etichetate de administrator
Products Tagged by Customers,Produse etichetate de clienti
Products Tagged with '%s',Produse cu eticheta '%s'
Products tagged with '%s',Produse cu eticheta '%s'
Rebuild Tag aggregation data,Reconstruieste date agregate eticheta
Remove,Inlatura
Remove product tag,Inlatura eticheta produsului
Retrieve list of tags by product,Obtine lista de etichete dupa produs
Retrieve product tag info,Obtine informatii eticheta produs
SKU,Cod produs
Save Tag,Salveaza eticheta
Save and Continue Edit,Salveaza si continua editarea
Status,Stare
Store View,Vitrina
Tag,Eticheta
"Tag ""%s"" has already been added to the product.","Eticheta ""%s"" a fost deja adaugata unui produs."
"Tag ""%s"" has been added to the product.","Eticheta ""%s"" a fost adaugata unui produs."
"Tag ""%s"" has been rejected by administrator.","Eticheta ""%s"" a fost respinsa de administrator."
Tag Aggregation Data,Date agregate eticheta
Tag Name,Nume eticheta
Tagged Products List,Lista produse etichetate
Tags,Etichete
Tags List (All Available),Lista etichete (disponibile)
Tags List Before,Lista etichete dinainte
Tags:,Etichete:
Telephone,Telefon
The tag has been deleted.,Eticheta a fost stearsa.
There are no tags available.,Nu exista etichete disponibile.
Unable to find any products tagged with '%s' in the current store,Nu s-au gasit produse cu eticheta '%s' in magazin
"Unable to remove tag. Please, try again later.",Eroare la stergerea etichetei. Incercati mai tarziu.
Unable to save tag(s).,Nu s-a putut salva eticheta.
Update,Actualizeaza
Update product tag,Actualizeaza eticheta produs
Use spaces to separate tags. Use single quotes (') for phrases.,Foloseste spatii intre etichete. Foloseste apostrof (') pentru fraze.
View All Tags,Vezi toate etichetele
View Customers,Vezi clienti
View Products,Vezi produse
XML,XML
You have not tagged any products yet.,Nu ai etichetat nici un produs.
ZIP/Post Code,Cod postal
[STORE VIEW],[VITRINA]
Actions,Actiuni
All tags,Toate etichetele
Unable to save tag(s),Eroare. Nu se poate salva eticheta
"Unable to save your tag. Please, try again later.",Eroare. Nu se poate salva eticheta. Incearca mai tarziu.
Are you sure that you want to delete this tag?,Esti sigur ca vrei sa stergi eticheta?
Your tag(s) have been accepted for moderation,Eticheta a fost acceptata pentru moderare.
You tag was successfully saved,Eticheta a fost salvata
You tag was successfully deleted,Eticheta a fost stearsa.
Tag can't be empty.,Eticheta nu poate fi goala.
Tags Aren't Available,Etichete indisponibile
Back to view Tag,Inapoi la Vezi eticheta
Tag Information,Informatii eticheta
Thank you. Your tag has been accepted for moderation.,Iti multumim. Eticheta a fost acceptata pentru moderare.
Edit Tag,Modifica eticheta
Tag Name: %s,Nume eticheta: %s
Popularity,Popularitate
Products tagged with '%s' (<a href='%s'>RSS</a>),Produse cu eticheta '%s' (<a href='%s'>RSS</a>)
Tagged in,Pus eticheta in
Search Results for '%s' (<a href='%s'>RSS</a>),Rezultate cautare pentru '%s' (<a href='%s'>RSS</a>)
Uses,Utilizari
Visible In,Vizibil in
